s (1,1) 40
s (2,1) 34
s (3,1) 1
s (4,1) 39
s (5,1) 49
(3,16) (2,16) 24
(3,16) (4,16) 21
(4,16) (3,16) 15
(4,16) (5,16) 24
(5,16) (4,16) 38
(1,17) (2,17) 29
(2,17) (1,17) 50
(2,17) (3,17) 12
(3,17) (2,17) 1
(3,17) (4,17) 37
(4,17) (3,17) 40
(4,17) (5,17) 1
(5,17) (4,17) 6
(1,18) (2,18) 31
(2,18) (1,18) 17
(2,18) (3,18) 23
(3,18) (2,18) 4
(3,18) (4,18) 31
(4,18) (3,18) 36
(4,18) (5,18) 44
(5,18) (4,18) 10
(1,19) (2,19) 25
(2,19) (1,19) 20
(2,19) (3,19) 15
(3,19) (2,19) 15
(3,19) (4,19) 35
(4,19) (3,19) 18
(4,19) (5,19) 44
(5,19) (4,19) 14
(1,20) (2,20) 37
(2,20) (1,20) 43
(2,20) (3,20) 9
(3,20) (2,20) 30
(3,20) (4,20) 46
(4,20) (3,20) 46
(4,20) (5,20) 36
(5,20) (4,20) 40
(1,21) (2,21) 34
(2,21) (1,21) 3
(2,21) (3,21) 41
(3,21) (2,21) 6
(3,21) (4,21) 19
(4,21) (3,21) 42
(4,21) (5,21) 38
(5,21) (4,21) 5
(1,22) (2,22) 37
(2,22) (1,22) 1
(2,22) (3,22) 11
(3,22) (2,22) 32
(3,22) (4,22) 25
(4,22) (3,22) 16
(4,22) (5,22) 32
(5,22) (4,22) 44
(1,23) (2,23) 26
(2,23) (1,23) 34
(2,23) (3,23) 38
(3,23) (2,23) 15
(3,23) (4,23) 28
(4,23) (3,23) 28
(4,23) (5,23) 44
(5,23) (4,23) 8
(1,24) (2,24) 17
(2,24) (1,24) 3
(2,24) (3,24) 7
(3,24) (2,24) 46
(3,24) (4,24) 23
(4,24) (3,24) 26
(4,24) (5,24) 19
(5,24) (4,24) 36
(1,25) (2,25) 46
(2,25) (1,25) 3
(2,25) (3,25) 48
(3,25) (2,25) 21
(3,25) (4,25) 36
(4,25) (3,25) 28
(4,25) (5,25) 40
(5,25) (4,25) 36
(1,25) t 19
(2,25) t 40
(3,25) t 23
(4,25) t 22
(5,25) t 36
